,Review #,Brand,Variety,Style,Country,Stars,Top Ten,Style_value,Style_label,Country_value,Country_label,Style_value_jitter,Country_value_jitter,label
14,2549,Nissin,Gekikara Ramen Extra Hot Ramen Goreng,Pack,Indonesia,4.5,,3.7004581151832467,1.0,4.067460317460317,1,3.7628264295222857,4.0360005682334865,GOOD
15,2548,Ottogi,Plain Instant Noodle No Soup Included,Pack,South Korea,Unrated,,3.7004581151832467,1.0,3.7905537459283383,1,3.7603582564618265,3.8932390098028775,GOOD
16,2546,New Touch,Sugo-Men Kyoto Backfat Shoyu Ramen,Bowl,Japan,3.75,,3.6706860706860707,1.0,3.981605113636364,1,3.617925166580767,3.945740948555855,GOOD
17,2545,KOKA,Instant Noodles Laksa Singapura Flavour,Pack,Singapore,5,,3.7004581151832467,1.0,4.126146788990826,1,3.86709642876448,4.031398525628646,GOOD
18,2540,Wei Lih,GGE Noodle Snack Wheat Crackers Mexican Spicy,Pack,Taiwan,3.25,,3.7004581151832467,1.0,3.665401785714286,1,3.7550134357703446,3.778754893911529,GOOD
19,2534,Fujiwara,Hokkaido Hakodate Shoyu Ramen,Pack,Japan,4,,3.7004581151832467,1.0,3.981605113636364,1,3.6155764290105314,3.815362724998,GOOD
20,2533,Nongshim,Shin Ramyun Black,Pack,South Korea,5,,3.7004581151832467,1.0,3.7905537459283383,1,3.6662134518912532,3.944008946238002,GOOD
21,2532,Nissin,Nippon Onomichi Ramen,Bowl,Japan,4.75,,3.6706860706860707,1.0,3.981605113636364,1,3.655576543851108,4.104204131343594,GOOD
22,2530,Ottogi,Ppushu Ppushu Noodle Snack Honey Butter ,Pack,South Korea,2,,3.7004581151832467,1.0,3.7905537459283383,1,3.8311142308709822,3.724148989785142,GOOD
23,2529,Maruchan,Gotsumori Chanpon Ramen,Bowl,Japan,4.5,,3.6706860706860707,1.0,3.981605113636364,1,3.541625576616845,3.897463235281765,GOOD
24,2528,Prima,Juzz's Mee Creamy Chicken Flavour (Export Version),Pack,Singapore,5,,3.7004581151832467,1.0,4.126146788990826,1,3.608377928263943,4.124078547211353,GOOD
25,2526,Samyang Foods,Jjamppong Big Bowl,Bowl,South Korea,4.5,,3.6706860706860707,1.0,3.7905537459283383,1,3.745002975663739,3.669718451793847,GOOD
26,2525,Sokensha,Curry Udon,Pack,Japan,3.5,,3.7004581151832467,1.0,3.981605113636364,1,3.735755731969807,3.967146560557696,GOOD
27,2524,Nissin,Straits Reborn Laksa,Pack,Singapore,5,,3.7004581151832467,1.0,4.126146788990826,1,3.6823572220380236,4.093549188224064,GOOD
28,2523,Nongshim,Budae Jjigae Noodle Soup,Pack,South Korea,4.5,,3.7004581151832467,1.0,3.7905537459283383,1,3.7475824579320727,3.790460674216637,GOOD
29,2522,Takamori,Hearty Japanese Style Curry Udon,Pack,Japan,5,,3.7004581151832467,1.0,3.981605113636364,1,3.5753966509044797,3.8989337899835856,GOOD
30,2521,Nissin,Cup Noodles Potato Chips Black Pepper Crab Flavour,Pack,Singapore,4.5,,3.7004581151832467,1.0,4.126146788990826,1,3.7316279867342184,4.081558006829994,GOOD
31,2518,Samurai Ramen,Umami Ramen,Pack,Japan,4,,3.7004581151832467,1.0,3.981605113636364,1,3.7483251172831187,3.9874039538287196,GOOD
32,2517,Ikeda Shoku,Nabeyaki Tempura Udoin,Bowl,Japan,4.5,,3.6706860706860707,1.0,3.981605113636364,1,3.8353238303878032,4.182282207409884,GOOD
33,2516,Fujiwara,Hokkaido Hakodate Miso Ramen,Pack,Japan,3.5,,3.7004581151832467,1.0,3.981605113636364,1,3.7001645982328006,4.182910027942569,GOOD
34,2515,Uni-President,Man Han Feast Spicy Beef Flavor Instant Noodles,Bowl,Taiwan,5,,3.6706860706860707,1.0,3.665401785714286,1,3.6503650858387213,3.534556173279462,GOOD
35,2514,Ogasawara,Kirin Giraffe Shoyu Ramen,Pack,Japan,4.5,,3.7004581151832467,1.0,3.981605113636364,1,3.807968110141309,4.012205695341755,GOOD
36,2512,Mom's Dry Noodle,Dan Dan Noodle,Pack,Taiwan,5,,3.7004581151832467,1.0,3.665401785714286,1,3.7455380883356497,3.6392771464577454,GOOD
37,2511,Samyang Foods,Samyang Ramen Classic Edition,Bowl,South Korea,5,,3.6706860706860707,1.0,3.7905537459283383,1,3.588771491641094,3.8213035291487163,GOOD
38,2510,MyKuali,Penang Red Tom Yum Goong Noodle,Pack,Malaysia,5,,3.7004581151832467,1.0,4.154193548387097,1,3.703298771783312,4.1987358581687095,GOOD
39,2508,Samyang Foods,Mala Buldak Bokkeummyun,Pack,South Korea,3.75,,3.7004581151832467,1.0,3.7905537459283383,1,3.641423504643051,3.9452733287396247,GOOD
40,2507,Indomie,RMy Noodlez Rumput Laut,Pack,Indonesia,4,,3.7004581151832467,1.0,4.067460317460317,1,3.7861106504829047,4.018229554300394,GOOD
41,2506,KOKA,Delight Chicken Flavor Instant Non-Fried Noodles,Pack,Singapore,3.75,,3.7004581151832467,1.0,4.126146788990826,1,3.7086687979454185,4.137096143355187,GOOD
42,2505,Acecook,Super Cup Torigawa Shoyu,Bowl,Japan,3.5,,3.6706860706860707,1.0,3.981605113636364,1,3.802514423921863,4.029134730845046,GOOD
43,2504,Nongshim,Shin Ramyun,Pack,South Korea,3,,3.7004581151832467,1.0,3.7905537459283383,1,3.7017733714149257,3.7786707987912327,GOOD
44,2501,Happy Cook,Toona Paste Noodle,Pack,Taiwan,4,,3.7004581151832467,1.0,3.665401785714286,1,3.6681278589658928,3.6825727406705697,GOOD
45,2500,The Ramen Rater Select,Supreme Creamy Tom Yum Noodle,Box,Malaysia,5,,4.291666666666667,1.0,4.154193548387097,1,4.370685550687603,4.219113981479151,GOOD
46,2483,Paldo,Bul Jjamppong,Bowl,South Korea,5,,3.6706860706860707,1.0,3.7905537459283383,1,3.8023146820467524,3.836034909414895,GOOD
47,2482,TTL,Chicken With Chinese Shaoxing Wine,Pack,Taiwan,4.75,,3.7004581151832467,1.0,3.665401785714286,1,3.8832045094474013,3.798905496016956,GOOD
48,2480,Acecook,Pork Wantan Men,Bowl,Japan,4.25,,3.6706860706860707,1.0,3.981605113636364,1,3.6114225661306647,4.00288620477802,GOOD
49,2479,E-Zee,Instant Noodles Chicken Flavour,Pack,Malaysia,4,,3.7004581151832467,1.0,4.154193548387097,1,3.7057250418441265,4.189825044408891,GOOD
50,2478,Kiki Noodle,Scallion Oil & Soy Sauce Noodle,Pack,Taiwan,5,,3.7004581151832467,1.0,3.665401785714286,1,3.83425894231887,3.6707151931984705,GOOD
51,2477,Kiki Noodle,Sichuan Spices Flavor Noodle,Pack,Taiwan,5,,3.7004581151832467,1.0,3.665401785714286,1,3.5835465611348254,3.6522280286988664,GOOD
52,2476,Samyang Foods,Kimchi Stew Ramyun,Bowl,South Korea,4,,3.6706860706860707,1.0,3.7905537459283383,1,3.6355610709772983,3.8706359868329425,GOOD
53,2475,Maruchan,Seimen Red Spicy Dandan Men,Bowl,Japan,4.75,,3.6706860706860707,1.0,3.981605113636364,1,3.5918496928068677,4.076850685674003,GOOD
54,2474,Ottogi,Ppushu Ppushu Noodle Snack Chilli Cheese Flavor,Pack,South Korea,4.25,,3.7004581151832467,1.0,3.7905537459283383,1,3.7024489422799283,3.631381999987974,GOOD
55,2473,Tokyo Noodle,Mini Instant Noodle Mild Curry Flavor,Pack,Japan,2,,3.7004581151832467,1.0,3.981605113636364,1,3.780584143244379,4.087585460776886,GOOD
56,2472,GGE,Noodle Snack Wheat Cracks Seaweed Flavor,Pack,Taiwan,3.5,,3.7004581151832467,1.0,3.665401785714286,1,3.662667298478691,3.6400965404942025,GOOD
57,2467,Paldo,Volcano Curry Kkokkomyun,Pack,South Korea,3.5,,3.7004581151832467,1.0,3.7905537459283383,1,3.670430376642195,3.954707897903069,GOOD
58,2466,Sau Tao,Instant Noodle King Pepper Duck Flavour Soup,Pack,Hong Kong,4,,3.7004581151832467,1.0,3.8018248175182485,1,3.6593456889401517,4.026257914462446,GOOD
59,2464,Wang,Extreme Spicy Hot Chicken Flavor Udon,Bowl,South Korea,2,,3.6706860706860707,1.0,3.7905537459283383,1,3.6906421287486997,3.865976545957643,GOOD
60,2463,Nissin,Gekikara Ramen Rasa Pedas,Pack,Indonesia,3.25,,3.7004581151832467,1.0,4.067460317460317,1,3.6138588845549187,3.914678659294637,GOOD
61,2462,TTL,Sesame Oil Chicken Noodle With Rice Wine,Bowl,Taiwan,5,,3.6706860706860707,1.0,3.665401785714286,1,3.626776980537428,3.639737274775529,GOOD
62,2461,Fujiwara,Hokkaido Hakodate Shio Ramen,Pack,Japan,4.5,,3.7004581151832467,1.0,3.981605113636364,1,3.7618065975318995,3.986302415841511,GOOD
63,2459,Nissin,Cup Noodles MUG Shoyu & Seafood,Pack,Japan,3.5,,3.7004581151832467,1.0,3.981605113636364,1,3.5687263617151253,4.115839875708324,GOOD
64,2458,Samyang Foods,Sari Ramen,Pack,South Korea,Unrated,,3.7004581151832467,1.0,3.7905537459283383,1,3.7359409083810347,3.6448076310570956,GOOD
65,2457,KOKA,Instant Noodles Chicken Satay Flavour,Pack,Singapore,3.5,,3.7004581151832467,1.0,4.126146788990826,1,3.5774111205075094,4.206070618975469,GOOD
66,2456,KOKA,Signature Spicy Singapore Fried Noodles Instant Noodles,Pack,Singapore,4.25,,3.7004581151832467,1.0,4.126146788990826,1,3.8472332316016584,4.056784033992087,GOOD
67,2454,KOKA,Silk Beef Pho Flavor Instant Rice Fettuccine,Bowl,Singapore,3.25,,3.6706860706860707,1.0,4.126146788990826,1,3.666427468370431,4.124255670091274,GOOD
68,2453,KOKA,Delight Spicy Sesame Flavor Instant Non-Fried Noodles,Pack,Singapore,4.5,,3.7004581151832467,1.0,4.126146788990826,1,3.7954777056663516,4.000305505383272,GOOD
69,2452,KOKA,Signature Laksa Singapura Instant Noodles,Bowl,Singapore,5,,3.6706860706860707,1.0,4.126146788990826,1,3.6366231456525386,4.000404454554877,GOOD
70,2451,KOKA,Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles,Pack,Singapore,5,,3.7004581151832467,1.0,4.126146788990826,1,3.977791270069805,4.16701312265033,GOOD
71,2450,KOKA,Purple Wheat Noodles Chili & Lime Flavor,Pack,Singapore,4,,3.7004581151832467,1.0,4.126146788990826,1,3.545890253457298,4.227569775505635,GOOD
72,2449,KOKA,Delight Tomato Flavor Instant Non-Fried Noodles,Pack,Singapore,5,,3.7004581151832467,1.0,4.126146788990826,1,3.5644249581701395,4.183882039767625,GOOD
73,2447,KOKA,Signature Stir-Fry Original Flavor Instant Noodles,Pack,Singapore,3,,3.7004581151832467,1.0,4.126146788990826,1,3.821138379090497,4.194005702882031,GOOD
74,2445,KOKA,Delight Laksa Singapura Flavor Instant Non-Fried Noodles,Pack,Singapore,4.25,,3.7004581151832467,1.0,4.126146788990826,1,3.9028226789583416,4.116167620831782,GOOD
75,2444,KOKA,Silk Spicy Marinara Instant Rice Fettuccine,Bowl,Singapore,5,,3.6706860706860707,1.0,4.126146788990826,1,3.6896005261816516,3.9606071159312166,GOOD
76,2441,MyKuali,Penang Hokkien Prawn Flavor Noodle,Box,Japan,5,,4.291666666666667,1.0,3.981605113636364,1,4.362129045417246,3.9054531505645596,GOOD
77,2439,Uni-President,Man Han Feast Super Hot Pot Beef Flavor Instant Noodles,Bowl,Taiwan,5,,3.6706860706860707,1.0,3.665401785714286,1,3.7046108186327675,3.678916094907997,GOOD
78,2438,World O' Noodle,Mi Goreng Original Flavour Fried Noodles,Pack,Indonesia,5,,3.7004581151832467,1.0,4.067460317460317,1,3.68021714095993,4.165447624653047,GOOD
79,2437,Nissin,Raoh Nojyuku Toro Tonkotsu Ramen,Bowl,Japan,4.5,,3.6706860706860707,1.0,3.981605113636364,1,3.691981724675277,4.063053079562543,GOOD
80,2436,Kang Shi Fu,Artificial Dongpo's Braised Pork Flavour,Pack,Hong Kong,4.75,,3.7004581151832467,1.0,3.8018248175182485,1,3.8050805197499953,3.5921754533363828,GOOD
81,2434,Happy Cook,Old Beijing Fried Bean Sauce Noodle,Pack,Taiwan,4.25,,3.7004581151832467,1.0,3.665401785714286,1,3.7673782016619457,3.6659977580824874,GOOD
82,2430,MyKuali,MeeKuali Bihun Sup Rempah Perisa Daging,Pack,Malaysia,5,,3.7004581151832467,1.0,4.154193548387097,1,3.6732109330638565,4.19492475351885,GOOD
83,2428,TTL,Sesame Oil Chicken With Rice Wine Noodle,Bowl,Taiwan,5,,3.6706860706860707,1.0,3.665401785714286,1,3.7093610760974682,3.5469482226155105,GOOD
84,2427,Ajinatori,HALAL Chicken Shoyu Sauce Ramen,Pack,Japan,2.5,,3.7004581151832467,1.0,3.981605113636364,1,3.6571203655673137,4.199271080266367,GOOD
85,2424,Samyang Foods,Cheese Type Buldak Bokkeummyun (Black Pkg),Pack,South Korea,3.75,,3.7004581151832467,1.0,3.7905537459283383,1,3.648831228463804,3.875417538052164,GOOD
86,2423,Ve Wong,Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor,Pack,Taiwan,3.5,,3.7004581151832467,1.0,3.665401785714286,1,3.5244667677225427,3.4956583712060185,GOOD
87,2421,Uni-President,Baseball Snack Noodle,Pack,Taiwan,5,,3.7004581151832467,1.0,3.665401785714286,1,3.5633697811682814,3.6656317728154155,GOOD
88,2419,MyKuali,Penang Red Tom Yum Goong,Box,Japan,5,,4.291666666666667,1.0,3.981605113636364,1,4.236036696062466,3.9076736842018143,GOOD
89,2417,Super Bihun,Bihun Kuah Rasa Baso Sapi,Pack,Indonesia,3.75,,3.7004581151832467,1.0,4.067460317460317,1,3.6633882086213827,3.9524958459427197,GOOD
90,2415,Nissin,Kitsune Udon Donbei (West),Bowl,Japan,5,,3.6706860706860707,1.0,3.981605113636364,1,3.6610024123006415,3.9581860350921505,GOOD
91,2414,Little Cook,Thailand Green Curry Instant Noodle,Bowl,Taiwan,5,,3.6706860706860707,1.0,3.665401785714286,1,3.708763900479158,3.4756127296966075,GOOD
92,2407,Just Way,Chuan Wei Spicy Guan-miao Noodles,Pack,Taiwan,4.5,,3.7004581151832467,1.0,3.665401785714286,1,3.6979493302691973,3.6273578578301104,GOOD
93,2404,MyKuali,Penang Hokkien Prawn Noodle Soup,Pack,Singapore,5,,3.7004581151832467,1.0,4.126146788990826,1,3.7696432203762007,4.053796331826232,GOOD
94,2399,Indomie,My Noodles Mi Goreng Pizza Cheese,Pack,Indonesia,4,,3.7004581151832467,1.0,4.067460317460317,1,3.7036444773092994,4.148000592112958,GOOD
95,2397,Samyang Foods,Cheese Buldak Bokkeummyun (Black),Bowl,South Korea,4,,3.6706860706860707,1.0,3.7905537459283383,1,3.5760076031676498,3.726970785330407,GOOD
96,2396,Maggi,2 Minute Noodles Chicken Flavour,Pack,Fiji,3.25,,3.7004581151832467,1.0,3.875,1,3.7158657898098912,3.925917625796987,GOOD
97,2393,Ripe'n'Dry,Hokkaido Miso Ramen,Pack,Japan,3,,3.7004581151832467,1.0,3.981605113636364,1,3.750914757041964,4.052236822085235,GOOD
98,2392,MyKuali,Penang Red Tom Yum Goong Rice Vermicelli Soup,Bowl,Malaysia,5,,3.6706860706860707,1.0,4.154193548387097,1,3.6512737598983156,4.211098324508734,GOOD
99,2391,Ottogi,Jin Jjambbong Spicy Seafood Ramyun,Pack,South Korea,5,,3.7004581151832467,1.0,3.7905537459283383,1,3.6923667208555844,3.7288580435866594,GOOD
100,2387,Nissin,Demae Iccho Sesame Oil Flavour Instant Noodle,Bowl,Hong Kong,3.5,,3.6706860706860707,1.0,3.8018248175182485,1,3.793797831162127,3.77963776666211,GOOD
101,2386,Maggi,2 Minute Noodles Curry Flavour,Pack,Fiji,4,,3.7004581151832467,1.0,3.875,1,3.7976206496745033,3.8419885525674253,GOOD
102,2385,Uni-President,Man Han Feast Chilli Beef Flavor Instant Noodles,Bowl,Taiwan,4.75,,3.6706860706860707,1.0,3.665401785714286,1,3.582732806500551,3.6088701003424775,GOOD
103,2380,Pulmuone,Non-Fried Ramyun With Spicy Beef Broth,Pack,South Korea,3.75,,3.7004581151832467,1.0,3.7905537459283383,1,3.807331702409547,3.7911194301962152,GOOD
104,2378,Sau Tao,Non-Fried Mix Noodle Black Pepper XO Sauce Flavoured,Pack,Hong Kong,4.5,,3.7004581151832467,1.0,3.8018248175182485,1,3.5424274019727324,3.8034087690876675,GOOD
105,2377,MyKuali,Penang White Curry Instant Noodle (Japan Version),Box,Malaysia,5,,4.291666666666667,1.0,4.154193548387097,1,4.358467708183919,4.189435904200234,GOOD
106,2375,Uni-President,Man Han Feast Braised Pork Flavor Instant Noodles,Bowl,Taiwan,5,,3.6706860706860707,1.0,3.665401785714286,1,3.591152096205377,3.8476388498678364,GOOD
107,2374,World O' Noodle,Mi Goreng Garlic Flavour Fried Noodles,Pack,Indonesia,4.5,,3.7004581151832467,1.0,4.067460317460317,1,3.6791382012228806,4.195265712126973,GOOD
108,2370,Samyang Foods,Zzaldduck Buldak Bokkeummyun Snack,Pack,South Korea,4.5,,3.7004581151832467,1.0,3.7905537459283383,1,3.661239014771072,3.9193638703789113,GOOD
109,2369,Samyang Foods,Curry Buldak Bokkeummyun,Pack,South Korea,4.25,,3.7004581151832467,1.0,3.7905537459283383,1,3.8102684950170653,3.795999651944457,GOOD
110,2368,Samyang Foods,Cool/Ice Buldak Bokkeummyun,Pack,South Korea,3.75,,3.7004581151832467,1.0,3.7905537459283383,1,3.7713857699986555,3.5843229913324888,GOOD
111,2367,Samyang Foods,2x Spicy Haek Buldak Bokkeummyun,Pack,South Korea,4,,3.7004581151832467,1.0,3.7905537459283383,1,3.7941031477799716,3.971300799557292,GOOD
112,2366,Samyang Foods,Buldak Bokkeummyun Snack,Pack,South Korea,5,,3.7004581151832467,1.0,3.7905537459283383,1,3.571838613481784,3.8112721186805674,GOOD
113,2365,Samyang Foods,Stew Buldak Bokkeumtangmyun,Pack,South Korea,5,,3.7004581151832467,1.0,3.7905537459283383,1,3.6000468001018597,3.89821571827971,GOOD
114,2364,Samyang Foods,Cheese Buldak Bokkeummyun,Pack,South Korea,4,,3.7004581151832467,1.0,3.7905537459283383,1,3.585398038354258,3.7137139760269675,GOOD
115,2363,Samyang Foods,Buldak Bokkeummyun (New Packaging),Pack,South Korea,4,,3.7004581151832467,1.0,3.7905537459283383,1,3.742720044946258,3.7578908824097734,GOOD
116,2361,Nissin,Demae Iccho Chicken Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,5,,3.6706860706860707,1.0,3.8018248175182485,1,3.6131141020563198,3.896917444876938,GOOD
117,2357,Kamfen,Noodle King Artificial Wonton Soup Flavored,Bowl,Hong Kong,5,,3.6706860706860707,1.0,3.8018248175182485,1,3.5812000635371914,3.839693319299582,GOOD
118,2355,Marutai,Nagasaki Agodashi Shoyu Ramen,Pack,Japan,4,,3.7004581151832467,1.0,3.981605113636364,1,3.628823610280635,4.0412217502333165,GOOD
119,2352,Uni-President,Minced Pork Flavor Instant Noodles,Pack,Taiwan,1,,3.7004581151832467,1.0,3.665401785714286,1,3.6742437890744664,3.5797964249243672,GOOD
120,2348,Ripe'n'Dry,Hokkaido Salt Ramen,Pack,Japan,3,,3.7004581151832467,1.0,3.981605113636364,1,3.7996285500412963,3.8935530485603804,GOOD
121,2347,Nissin,Demae Iccho Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,3,,3.6706860706860707,1.0,3.8018248175182485,1,3.7506023714365426,3.7112066249973714,GOOD
122,2345,Sempio,Clam Flavor Soup Kal-guksu,Pack,South Korea,5,,3.7004581151832467,1.0,3.7905537459283383,1,3.7841750568084525,3.7686555799139088,GOOD
123,2342,Nissin,Sopa Nissin Sabor A Camaron Sopa Instantanea Tipo Ramen,Pack,Mexico,4,,3.7004581151832467,1.0,3.73,1,3.69338425152679,3.6105797488266385,GOOD
124,2338,Nissin,Sopa Nissin Sabor A Pollo Sopa Instantanea Tipo Ramen,Pack,Mexico,4,,3.7004581151832467,1.0,3.73,1,3.7543971934846128,3.514881224156605,GOOD
125,2332,Nissin,Sopa Nissin Sabor A Res Instantanea Tipo Ramen,Pack,Mexico,4,,3.7004581151832467,1.0,3.73,1,3.722881829292493,3.791876637060625,GOOD
126,2330,Ve Wong,Little Prince(ss) Brand Snack Noodles Artificial Mexican Pizza Flavor,Pack,Taiwan,4,,3.7004581151832467,1.0,3.665401785714286,1,3.6553716087252286,3.6449880612088665,GOOD
127,2325,Pran,Mr. Noodles Curry Flavor Instant Noodles,Pack,Bangladesh,4,,3.7004581151832467,1.0,3.7142857142857144,1,3.630914496210485,3.6462114919795616,GOOD
128,2324,Paldo,Bul Jjajangmyeon,Pack,South Korea,5,,3.7004581151832467,1.0,3.7905537459283383,1,3.7238845421962434,3.844777010503414,GOOD
129,2323,Ogasawara,Kirin Giraffe Shio Ramen,Pack,Japan,5,,3.7004581151832467,1.0,3.981605113636364,1,3.597805604208255,3.8771430061928496,GOOD
130,2322,Sapporo Ichiban,Mie Kamayama Ramen Gyukotsu Misoaji,Bowl,Japan,3,,3.6706860706860707,1.0,3.981605113636364,1,3.689199287309482,3.995085528159814,GOOD
131,2321,Sau Tao,Black Pepper XO Sauce Flavour,Bowl,Hong Kong,5,,3.6706860706860707,1.0,3.8018248175182485,1,3.6089284701681255,3.834337609146743,GOOD
132,2319,Nongshim,Saeutang Sabalmyeon,Bowl,South Korea,3.5,,3.6706860706860707,1.0,3.7905537459283383,1,3.6180343860021438,3.833473057426547,GOOD
133,2318,Happy Cook,Sichuan Spicy Flavor,Pack,Taiwan,5.0,,3.7004581151832467,1.0,3.665401785714286,1,3.8285993866164403,3.5354794452881273,GOOD
134,2313,Xiao Ban Mian,Sesame Oil With Garlic Flavor Thin Noodle,Pack,Taiwan,3.50,,3.7004581151832467,1.0,3.665401785714286,1,3.8536218132841276,3.64170385258708,GOOD
135,2312,Xiao Ban Mian,Traditional Shallot & Onion Oil Noodle,Pack,Taiwan,5,,3.7004581151832467,1.0,3.665401785714286,1,3.8102883195747292,3.711132615180773,GOOD
136,2311,Xiao Ban Mian,Sesame Sauce Matcha Noodle,Pack,Taiwan,3.8,,3.7004581151832467,1.0,3.665401785714286,1,3.596769260017875,3.5417114701650183,GOOD
137,2310,Pran,Mr. Noodles Instant Noodles Beef Flavour,Pack,Bangladesh,4,,3.7004581151832467,1.0,3.7142857142857144,1,3.68926036313651,3.7458610430547736,GOOD
138,2307,Ottogi,Ramyun Sabor Pollo,Pack,Mexico,4.00,,3.7004581151832467,1.0,3.73,1,3.7472866927241983,3.7547034095944856,GOOD
139,2305,Ajinatori,Chicken Flavor Ramen,Pack,Japan,4,,3.7004581151832467,1.0,3.981605113636364,1,3.711026800809262,3.9617398076616883,GOOD
140,2303,Maruchan,Sopa Maruchan Sobar A Camaron,Pack,Mexico,3,,3.7004581151832467,1.0,3.73,1,3.777882390361945,3.6010497305844416,GOOD
141,2300,Nissin,Demae Ramen Spicy Xo Sauce Seafood Flavour Instant Noodle,Pack,Hong Kong,4,,3.7004581151832467,1.0,3.8018248175182485,1,3.719031923675378,3.8406620263924833,GOOD
142,2299,Cintan,Mi Segera Mmm... Original,Pack,Malaysia,3,,3.7004581151832467,1.0,4.154193548387097,1,3.6990741796748403,3.9765676567974624,GOOD
143,2294,Sapporo Ichiban,Tabimen AizuKitakata Gyokai Shoyu Ramen,Bowl,Japan,4,,3.6706860706860707,1.0,3.981605113636364,1,3.7734841282013196,3.941788767874172,GOOD
144,2293,Nissin,Nupasta Bacon In Carbonara Sauce Flavour Instant Noodle,Pack,Hong Kong,5,,3.7004581151832467,1.0,3.8018248175182485,1,3.779513390303611,3.8903041165421115,GOOD
145,2291,Samyang Foods,Buldak Bokkummyun Cheese Flavor,Pack,South Korea,4,,3.7004581151832467,1.0,3.7905537459283383,1,3.810029007198105,3.6346705891969053,GOOD
146,2290,Nissin,Demae Ramen Straight Noodle Black Garlic Oil Tonkotsu Flavour Instant Noodle,Pack,Hong Kong,5,,3.7004581151832467,1.0,3.8018248175182485,1,3.859094525980152,3.871821500452115,GOOD
147,2289,Myojo,Shin Toyama Black Ramen,Bowl,Japan,4,,3.6706860706860707,1.0,3.981605113636364,1,3.5376096391766367,4.122088362216663,GOOD
148,2286,Kamfen,Noodle King Artificial Abalone And Chicken Soup Flavored,Bowl,Hong Kong,4,,3.6706860706860707,1.0,3.8018248175182485,1,3.740943488710096,3.838366361612147,GOOD
149,2283,Nissin,Raoh Pork Bone Soy Soup Noodle,Pack,Japan,5,,3.7004581151832467,1.0,3.981605113636364,1,3.791698409709462,3.8748012673426127,GOOD
150,2282,Samyang Foods,Gold Jjamppong Fried Noodle,Pack,South Korea,5,,3.7004581151832467,1.0,3.7905537459283383,1,3.6636212519761973,3.8514835044002567,GOOD
151,2279,Nissin,Demae Iccho Spicy Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,5,,3.6706860706860707,1.0,3.8018248175182485,1,3.5218743706429727,3.9198172695623352,GOOD
152,2278,Nissin,Raoh Tantanmen,Pack,Japan,5,,3.7004581151832467,1.0,3.981605113636364,1,3.622725825050671,3.865381379470748,GOOD
