,Review #,Brand,Variety,Style,Country,Stars,Top Ten,Style_value,Style_label,Country_value,Country_label
38,2542,Acecook,Super Cup Yochan Ika Yakisoba,Tray,Japan,1.5,,3.545138888888889,0.0,3.981605113636364,1
39,2541,Nissin,Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup,Cup,USA,5,,3.4984999999999995,0.0,3.457043343653251,0
40,2540,Wei Lih,GGE Noodle Snack Wheat Crackers Mexican Spicy,Pack,Taiwan,3.25,,3.7004581151832467,1.0,3.665401785714286,1
41,2539,Nissin,Demae Iccho Tonkotsu Flavour Instant Noodle,Cup,Hong Kong,3.75,,3.4984999999999995,0.0,3.8018248175182485,1
42,2538,Nissin,Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup,Cup,USA,5,,3.4984999999999995,0.0,3.457043343653251,0
43,2537,Nissin,Cup NoodlesTom Yam Seafood (More Shrimptacular),Cup,Singapore,5,,3.4984999999999995,0.0,4.126146788990826,1
44,2536,Lele,Instant Noodles Beef,Pack,Ghana,3.5,,3.7004581151832467,1.0,3.5,0
45,2535,Nissin,Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup,Cup,USA,5,,3.4984999999999995,0.0,3.457043343653251,0
46,2534,Fujiwara,Hokkaido Hakodate Shoyu Ramen,Pack,Japan,4,,3.7004581151832467,1.0,3.981605113636364,1
47,2533,Nongshim,Shin Ramyun Black,Pack,South Korea,5,,3.7004581151832467,1.0,3.7905537459283383,1
48,2532,Nissin,Nippon Onomichi Ramen,Bowl,Japan,4.75,,3.6706860706860707,1.0,3.981605113636364,1
49,2531,Uni-President,Pickled Cabbage Beef,Pack,China,4.25,,3.7004581151832467,1.0,3.4218934911242602,0
50,2530,Ottogi,Ppushu Ppushu Noodle Snack Honey Butter ,Pack,South Korea,2,,3.7004581151832467,1.0,3.7905537459283383,1
51,2529,Maruchan,Gotsumori Chanpon Ramen,Bowl,Japan,4.5,,3.6706860706860707,1.0,3.981605113636364,1
52,2528,Prima,Juzz's Mee Creamy Chicken Flavour (Export Version),Pack,Singapore,5,,3.7004581151832467,1.0,4.126146788990826,1
53,2527,Uni-President,Mushroom Flavor,Pack,Vietnam,0,,3.7004581151832467,1.0,3.187962962962963,0
54,2526,Samyang Foods,Jjamppong Big Bowl,Bowl,South Korea,4.5,,3.6706860706860707,1.0,3.7905537459283383,1
55,2525,Sokensha,Curry Udon,Pack,Japan,3.5,,3.7004581151832467,1.0,3.981605113636364,1
56,2524,Nissin,Straits Reborn Laksa,Pack,Singapore,5,,3.7004581151832467,1.0,4.126146788990826,1
57,2523,Nongshim,Budae Jjigae Noodle Soup,Pack,South Korea,4.5,,3.7004581151832467,1.0,3.7905537459283383,1
58,2522,Takamori,Hearty Japanese Style Curry Udon,Pack,Japan,5,,3.7004581151832467,1.0,3.981605113636364,1
59,2521,Nissin,Cup Noodles Potato Chips Black Pepper Crab Flavour,Pack,Singapore,4.5,,3.7004581151832467,1.0,4.126146788990826,1
60,2520,Nissin,Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab),Cup,Singapore,5,,3.4984999999999995,0.0,4.126146788990826,1
61,2519,Guava Story,Anchovy Flavor Guava Rice Noodles,Tray,South Korea,1,,3.545138888888889,0.0,3.7905537459283383,1
62,2518,Samurai Ramen,Umami Ramen,Pack,Japan,4,,3.7004581151832467,1.0,3.981605113636364,1
63,2517,Ikeda Shoku,Nabeyaki Tempura Udoin,Bowl,Japan,4.5,,3.6706860706860707,1.0,3.981605113636364,1
64,2516,Fujiwara,Hokkaido Hakodate Miso Ramen,Pack,Japan,3.5,,3.7004581151832467,1.0,3.981605113636364,1
65,2515,Uni-President,Man Han Feast Spicy Beef Flavor Instant Noodles,Bowl,Taiwan,5,,3.6706860706860707,1.0,3.665401785714286,1
66,2514,Ogasawara,Kirin Giraffe Shoyu Ramen,Pack,Japan,4.5,,3.7004581151832467,1.0,3.981605113636364,1
67,2513,Pringles,Nissin Top Ramen Chicken Flavor Potato Crisps ,Can,USA,3.5,,3.5,0.0,3.457043343653251,0
68,2512,Mom's Dry Noodle,Dan Dan Noodle,Pack,Taiwan,5,,3.7004581151832467,1.0,3.665401785714286,1
69,2511,Samyang Foods,Samyang Ramen Classic Edition,Bowl,South Korea,5,,3.6706860706860707,1.0,3.7905537459283383,1
70,2510,MyKuali,Penang Red Tom Yum Goong Noodle,Pack,Malaysia,5,,3.7004581151832467,1.0,4.154193548387097,1
71,2509,Maggi,Hot Heads Green Chilli Noodles,Pack,India,3.5,,3.7004581151832467,1.0,3.3951612903225805,0
72,2508,Samyang Foods,Mala Buldak Bokkeummyun,Pack,South Korea,3.75,,3.7004581151832467,1.0,3.7905537459283383,1
73,2507,Indomie,RMy Noodlez Rumput Laut,Pack,Indonesia,4,,3.7004581151832467,1.0,4.067460317460317,1
74,2506,KOKA,Delight Chicken Flavor Instant Non-Fried Noodles,Pack,Singapore,3.75,,3.7004581151832467,1.0,4.126146788990826,1
75,2505,Acecook,Super Cup Torigawa Shoyu,Bowl,Japan,3.5,,3.6706860706860707,1.0,3.981605113636364,1
76,2504,Nongshim,Shin Ramyun,Pack,South Korea,3,,3.7004581151832467,1.0,3.7905537459283383,1
77,2503,Sichuan Guangyou,Sweet Potato Instant Noodle Sout-Hot Flavor,Bowl,China,0,,3.6706860706860707,1.0,3.4218934911242602,0
78,2502,Indomie,Onion Chicken Flavor,Pack,Nigeria,1.5,,3.7004581151832467,1.0,1.5,0
79,2501,Happy Cook,Toona Paste Noodle,Pack,Taiwan,4,,3.7004581151832467,1.0,3.665401785714286,1
80,2500,The Ramen Rater Select,Supreme Creamy Tom Yum Noodle,Box,Malaysia,5,,4.291666666666667,1.0,4.154193548387097,1
81,2499,KOKA,Creamy Soup With Crushed Noodles Chicken Flavor,Cup,Singapore,5,,3.4984999999999995,0.0,4.126146788990826,1
82,2498,Nissin,Demae Ramen Spicy Beef,Pack,Germany,3.75,,3.7004581151832467,1.0,3.638888888888889,0
83,2497,Nissin,Cup Noodles Spicy,Cup,Germany,3.75,,3.4984999999999995,0.0,3.638888888888889,0
84,2496,Nissin,Soba Thai,Pack,Germany,4.5,,3.7004581151832467,1.0,3.638888888888889,0
85,2495,Nissin,Cup Noodles Huhn (Chicken),Cup,Germany,3.75,,3.4984999999999995,0.0,3.638888888888889,0
86,2494,Nissin,Demae Ramen Korean Kimchi,Pack,Germany,3.5,,3.7004581151832467,1.0,3.638888888888889,0
87,2493,Nissin,Cup Noodles Curry,Cup,Germany,3.75,,3.4984999999999995,0.0,3.638888888888889,0
88,2492,Nissin,Smack Chili,Pack,Hungary,3.75,,3.7004581151832467,1.0,3.611111111111111,0
89,2491,Nissin,Soba Yakitori Chicken,Cup,Germany,5,,3.4984999999999995,0.0,3.638888888888889,0
90,2490,Nissin,Demae Ramen Garlic Chicken,Pack,Germany,3.5,,3.7004581151832467,1.0,3.638888888888889,0
91,2489,Nissin,Cup Noodles Ente (Duck),Cup,Germany,3,,3.4984999999999995,0.0,3.638888888888889,0
92,2488,Nissin,Demae Ramen Thai Tom Yum,Pack,Germany,3.75,,3.7004581151832467,1.0,3.638888888888889,0
93,2487,Nissin,Soba Sukiyaki Beef,Cup,Germany,4.5,,3.4984999999999995,0.0,3.638888888888889,0
94,2486,Nissin,Demae Ramen Spicy,Pack,Germany,3.5,,3.7004581151832467,1.0,3.638888888888889,0
95,2485,Nissin,Cup Noodles Shrimps,Cup,Germany,3,,3.4984999999999995,0.0,3.638888888888889,0
96,2484,Nissin,Demae Ramen Tokyo Soy Sauce,Pack,Germany,4,,3.7004581151832467,1.0,3.638888888888889,0
97,2483,Paldo,Bul Jjamppong,Bowl,South Korea,5,,3.6706860706860707,1.0,3.7905537459283383,1
98,2482,TTL,Chicken With Chinese Shaoxing Wine,Pack,Taiwan,4.75,,3.7004581151832467,1.0,3.665401785714286,1
99,2481,Samyang Foods,Buldak Bokkeummyun,Cup,South Korea,3.75,,3.4984999999999995,0.0,3.7905537459283383,1
100,2480,Acecook,Pork Wantan Men,Bowl,Japan,4.25,,3.6706860706860707,1.0,3.981605113636364,1
101,2479,E-Zee,Instant Noodles Chicken Flavour,Pack,Malaysia,4,,3.7004581151832467,1.0,4.154193548387097,1
102,2478,Kiki Noodle,Scallion Oil & Soy Sauce Noodle,Pack,Taiwan,5,,3.7004581151832467,1.0,3.665401785714286,1
103,2477,Kiki Noodle,Sichuan Spices Flavor Noodle,Pack,Taiwan,5,,3.7004581151832467,1.0,3.665401785714286,1
104,2476,Samyang Foods,Kimchi Stew Ramyun,Bowl,South Korea,4,,3.6706860706860707,1.0,3.7905537459283383,1
105,2475,Maruchan,Seimen Red Spicy Dandan Men,Bowl,Japan,4.75,,3.6706860706860707,1.0,3.981605113636364,1
106,2474,Ottogi,Ppushu Ppushu Noodle Snack Chilli Cheese Flavor,Pack,South Korea,4.25,,3.7004581151832467,1.0,3.7905537459283383,1
107,2473,Tokyo Noodle,Mini Instant Noodle Mild Curry Flavor,Pack,Japan,2,,3.7004581151832467,1.0,3.981605113636364,1
108,2472,GGE,Noodle Snack Wheat Cracks Seaweed Flavor,Pack,Taiwan,3.5,,3.7004581151832467,1.0,3.665401785714286,1
109,2471,Nissin,Cup Noodles Mini Seafood Flavour,Cup,Hong Kong,5,,3.4984999999999995,0.0,3.8018248175182485,1
110,2470,Myojo,Udon Japanese Style Noodles With Soup Base Hot & Sour Flavor,Pack,USA,3.75,,3.7004581151832467,1.0,3.457043343653251,0
111,2469,KOKA,Signature Curry Flavor Instant Noodles,Cup,Singapore,3.5,,3.4984999999999995,0.0,4.126146788990826,1
112,2468,Acecook,Dossari Yasai Chanpon,Cup,Japan,4.25,,3.4984999999999995,0.0,3.981605113636364,1
113,2467,Paldo,Volcano Curry Kkokkomyun,Pack,South Korea,3.5,,3.7004581151832467,1.0,3.7905537459283383,1
114,2466,Sau Tao,Instant Noodle King Pepper Duck Flavour Soup,Pack,Hong Kong,4,,3.7004581151832467,1.0,3.8018248175182485,1
115,2465,Nissin,Cup Noodles XO Sauce Seafood,Cup,China,3.75,,3.4984999999999995,0.0,3.4218934911242602,0
116,2464,Wang,Extreme Spicy Hot Chicken Flavor Udon,Bowl,South Korea,2,,3.6706860706860707,1.0,3.7905537459283383,1
117,2463,Nissin,Gekikara Ramen Rasa Pedas,Pack,Indonesia,3.25,,3.7004581151832467,1.0,4.067460317460317,1
118,2462,TTL,Sesame Oil Chicken Noodle With Rice Wine,Bowl,Taiwan,5,,3.6706860706860707,1.0,3.665401785714286,1
119,2461,Fujiwara,Hokkaido Hakodate Shio Ramen,Pack,Japan,4.5,,3.7004581151832467,1.0,3.981605113636364,1
120,2460,Daifuku,Katsuo Bowl Udon,Bowl,USA,5,,3.6706860706860707,1.0,3.457043343653251,0
121,2459,Nissin,Cup Noodles MUG Shoyu & Seafood,Pack,Japan,3.5,,3.7004581151832467,1.0,3.981605113636364,1
122,2458,Samyang Foods,Sari Ramen,Pack,South Korea,Unrated,,3.7004581151832467,1.0,3.7905537459283383,1
123,2457,KOKA,Instant Noodles Chicken Satay Flavour,Pack,Singapore,3.5,,3.7004581151832467,1.0,4.126146788990826,1
124,2456,KOKA,Signature Spicy Singapore Fried Noodles Instant Noodles,Pack,Singapore,4.25,,3.7004581151832467,1.0,4.126146788990826,1
125,2455,KOKA,Creamy Soup With Crushed Noodles Sweet Corn Flavor,Cup,Singapore,5,,3.4984999999999995,0.0,4.126146788990826,1
126,2454,KOKA,Silk Beef Pho Flavor Instant Rice Fettuccine,Bowl,Singapore,3.25,,3.6706860706860707,1.0,4.126146788990826,1
127,2453,KOKA,Delight Spicy Sesame Flavor Instant Non-Fried Noodles,Pack,Singapore,4.5,,3.7004581151832467,1.0,4.126146788990826,1
128,2452,KOKA,Signature Laksa Singapura Instant Noodles,Bowl,Singapore,5,,3.6706860706860707,1.0,4.126146788990826,1
129,2451,KOKA,Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles,Pack,Singapore,5,,3.7004581151832467,1.0,4.126146788990826,1
130,2450,KOKA,Purple Wheat Noodles Chili & Lime Flavor,Pack,Singapore,4,,3.7004581151832467,1.0,4.126146788990826,1
131,2449,KOKA,Delight Tomato Flavor Instant Non-Fried Noodles,Pack,Singapore,5,,3.7004581151832467,1.0,4.126146788990826,1
132,2448,KOKA,Seafood Flavor Instant Noodles,Cup,Singapore,3.5,,3.4984999999999995,0.0,4.126146788990826,1
133,2447,KOKA,Signature Stir-Fry Original Flavor Instant Noodles,Pack,Singapore,3,,3.7004581151832467,1.0,4.126146788990826,1
134,2446,KOKA,Creamy Soup Witrh Crushed Noodles Curry Flavor,Cup,Singapore,5,,3.4984999999999995,0.0,4.126146788990826,1
135,2445,KOKA,Delight Laksa Singapura Flavor Instant Non-Fried Noodles,Pack,Singapore,4.25,,3.7004581151832467,1.0,4.126146788990826,1
136,2444,KOKA,Silk Spicy Marinara Instant Rice Fettuccine,Bowl,Singapore,5,,3.6706860706860707,1.0,4.126146788990826,1
137,2443,KOKA,Signature Chicken Flavor Instant Noodles,Cup,Singapore,3.75,,3.4984999999999995,0.0,4.126146788990826,1
138,2442,Nissin,Cup Noodles Sopa Nissin Hot Sauce Con Camaron,Cup,Mexico,3.5,,3.4984999999999995,0.0,3.73,1
139,2441,MyKuali,Penang Hokkien Prawn Flavor Noodle,Box,Japan,5,,4.291666666666667,1.0,3.981605113636364,1
140,2440,Master Kong,Roasted Pork Noodle,Pack,China,4.5,,3.7004581151832467,1.0,3.4218934911242602,0
141,2439,Uni-President,Man Han Feast Super Hot Pot Beef Flavor Instant Noodles,Bowl,Taiwan,5,,3.6706860706860707,1.0,3.665401785714286,1
142,2438,World O' Noodle,Mi Goreng Original Flavour Fried Noodles,Pack,Indonesia,5,,3.7004581151832467,1.0,4.067460317460317,1
143,2437,Nissin,Raoh Nojyuku Toro Tonkotsu Ramen,Bowl,Japan,4.5,,3.6706860706860707,1.0,3.981605113636364,1
144,2436,Kang Shi Fu,Artificial Dongpo's Braised Pork Flavour,Pack,Hong Kong,4.75,,3.7004581151832467,1.0,3.8018248175182485,1
145,2435,Mum Ngon,Lau Tom Chua Cay,Pack,Vietnam,3.5,,3.7004581151832467,1.0,3.187962962962963,0
146,2434,Happy Cook,Old Beijing Fried Bean Sauce Noodle,Pack,Taiwan,4.25,,3.7004581151832467,1.0,3.665401785714286,1
147,2433,Nissin,Cup Noodles Indonesia Mie Goreng,Cup,Japan,3.75,,3.4984999999999995,0.0,3.981605113636364,1
148,2432,Fashion Food,Yummy Spicy Rice Soup With Seafood,Bowl,Thailand,3.5,,3.6706860706860707,1.0,3.3848167539267022,0
149,2431,Dream Kitchen,Udon Japanese Style Fresh Noodle,Bowl,USA,3.75,,3.6706860706860707,1.0,3.457043343653251,0
150,2430,MyKuali,MeeKuali Bihun Sup Rempah Perisa Daging,Pack,Malaysia,5,,3.7004581151832467,1.0,4.154193548387097,1
151,2429,New Touch,T's Restaurant Sura Tanmen,Cup,Japan,4,,3.4984999999999995,0.0,3.981605113636364,1
152,2428,TTL,Sesame Oil Chicken With Rice Wine Noodle,Bowl,Taiwan,5,,3.6706860706860707,1.0,3.665401785714286,1
153,2427,Ajinatori,HALAL Chicken Shoyu Sauce Ramen,Pack,Japan,2.5,,3.7004581151832467,1.0,3.981605113636364,1
154,2426,Dr. McDougall's,Vegan Pad Thai Noodle Soup,Cup,USA,0,,3.4984999999999995,0.0,3.457043343653251,0
155,2425,Nissin,Seafood Flavour Rice Vermicelli,Cup,Hong Kong,5,,3.4984999999999995,0.0,3.8018248175182485,1
156,2424,Samyang Foods,Cheese Type Buldak Bokkeummyun (Black Pkg),Pack,South Korea,3.75,,3.7004581151832467,1.0,3.7905537459283383,1
157,2423,Ve Wong,Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor,Pack,Taiwan,3.5,,3.7004581151832467,1.0,3.665401785714286,1
158,2422,Nissin,Cup Noodles Sopa Nissin Con Camaron Picante,Cup,Mexico,3.25,,3.4984999999999995,0.0,3.73,1
159,2421,Uni-President,Baseball Snack Noodle,Pack,Taiwan,5,,3.7004581151832467,1.0,3.665401785714286,1
160,2420,Nissin,Cup Noodles Spicy Seafood Flavor,Cup,China,3.75,,3.4984999999999995,0.0,3.4218934911242602,0
161,2419,MyKuali,Penang Red Tom Yum Goong,Box,Japan,5,,4.291666666666667,1.0,3.981605113636364,1
162,2418,Myojo,Yomise No Yakisoba Karashi Mentaiko Flavor,Tray,Japan,4.5,,3.545138888888889,0.0,3.981605113636364,1
163,2417,Super Bihun,Bihun Kuah Rasa Baso Sapi,Pack,Indonesia,3.75,,3.7004581151832467,1.0,4.067460317460317,1
164,2416,Xiuhe,Hot & Sour Beef Noodles,Bowl,China,4.25,,3.6706860706860707,1.0,3.4218934911242602,0
165,2415,Nissin,Kitsune Udon Donbei (West),Bowl,Japan,5,,3.6706860706860707,1.0,3.981605113636364,1
166,2414,Little Cook,Thailand Green Curry Instant Noodle,Bowl,Taiwan,5,,3.6706860706860707,1.0,3.665401785714286,1
167,2413,Nissin,Cup Noodles Beef Flavour,Cup,Hong Kong,2.5,,3.4984999999999995,0.0,3.8018248175182485,1
168,2412,Shirakiku,Sanukiya Udon Shrimp Flavor,Pack,USA,3.25,,3.7004581151832467,1.0,3.457043343653251,0
169,2411,Mama Pat's,Chicken Fajita Flavor Instant Ramen Noodles,Pack,USA,3.75,,3.7004581151832467,1.0,3.457043343653251,0
170,2410,Mama Pat's,Lamb Stew Flavor Instant Ramen Noodles,Pack,USA,3.75,,3.7004581151832467,1.0,3.457043343653251,0
171,2409,Mama Pat's,Seafood Gumbo Flavor Instant Ramen Noodles,Pack,USA,3.5,,3.7004581151832467,1.0,3.457043343653251,0
172,2408,Mama Pat's,Chicken Taco Flavor Instant Ramen Noodles,Pack,USA,3.75,,3.7004581151832467,1.0,3.457043343653251,0
173,2407,Just Way,Chuan Wei Spicy Guan-miao Noodles,Pack,Taiwan,4.5,,3.7004581151832467,1.0,3.665401785714286,1
174,2406,Sichuan Guangyou,Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor,Pack,China,0.25,,3.7004581151832467,1.0,3.4218934911242602,0
175,2405,Nissin,Cup Noodles Mini Spicy Seafood,Cup,Hong Kong,4,,3.4984999999999995,0.0,3.8018248175182485,1
176,2404,MyKuali,Penang Hokkien Prawn Noodle Soup,Pack,Singapore,5,,3.7004581151832467,1.0,4.126146788990826,1
177,2403,Goku-Uma,Yakisoba Japanese Style Noodle,Bowl,USA,4.75,,3.6706860706860707,1.0,3.457043343653251,0
178,2402,Maggi,Nutri-licious Pazzta Tomato Twist,Pack,India,3.75,,3.7004581151832467,1.0,3.3951612903225805,0
179,2401,Sichuan Baijia,Chongqing Noodles Burning Dry Noodles,Bowl,China,5,,3.6706860706860707,1.0,3.4218934911242602,0
180,2400,Nissin,Cup Noodles Tom Yam Seafood Flavour,Cup,Singapore,5,,3.4984999999999995,0.0,4.126146788990826,1
181,2399,Indomie,My Noodles Mi Goreng Pizza Cheese,Pack,Indonesia,4,,3.7004581151832467,1.0,4.067460317460317,1
182,2398,Liang Cheng Mai,Shaanxi Cold Noodle: Mustard Spicy,Tray,China,1,,3.545138888888889,0.0,3.4218934911242602,0
183,2397,Samyang Foods,Cheese Buldak Bokkeummyun (Black),Bowl,South Korea,4,,3.6706860706860707,1.0,3.7905537459283383,1
184,2396,Maggi,2 Minute Noodles Chicken Flavour,Pack,Fiji,3.25,,3.7004581151832467,1.0,3.875,1
185,2395,Master Kong,Chicken Flavor Instant Noolde,Pack,China,4.25,,3.7004581151832467,1.0,3.4218934911242602,0
186,2394,Nissin,Cup Noodles Prawn Flavour,Cup,Hong Kong,3.75,,3.4984999999999995,0.0,3.8018248175182485,1
187,2393,Ripe'n'Dry,Hokkaido Miso Ramen,Pack,Japan,3,,3.7004581151832467,1.0,3.981605113636364,1
188,2392,MyKuali,Penang Red Tom Yum Goong Rice Vermicelli Soup,Bowl,Malaysia,5,,3.6706860706860707,1.0,4.154193548387097,1
189,2391,Ottogi,Jin Jjambbong Spicy Seafood Ramyun,Pack,South Korea,5,,3.7004581151832467,1.0,3.7905537459283383,1
190,2390,Nissin,Rice Vermicelli Pickled Vegetable Pork Flavour,Cup,Hong Kong,3.75,,3.4984999999999995,0.0,3.8018248175182485,1
191,2389,Gefen,Imitation Chicken Flavor,Cup,USA,4,,3.4984999999999995,0.0,3.457043343653251,0
192,2388,Hua Feng,Three Fresh Delicacies Instant Noodle,Pack,China,4.25,,3.7004581151832467,1.0,3.4218934911242602,0
193,2387,Nissin,Demae Iccho Sesame Oil Flavour Instant Noodle,Bowl,Hong Kong,3.5,,3.6706860706860707,1.0,3.8018248175182485,1
194,2386,Maggi,2 Minute Noodles Curry Flavour,Pack,Fiji,4,,3.7004581151832467,1.0,3.875,1
195,2385,Uni-President,Man Han Feast Chilli Beef Flavor Instant Noodles,Bowl,Taiwan,4.75,,3.6706860706860707,1.0,3.665401785714286,1
196,2384,Sichuan Guangyou,9999 Chongqing Artificial Beef Flavor Instant Noodle,Pack,China,4.25,,3.7004581151832467,1.0,3.4218934911242602,0
197,2383,Nissin,Cup Noodles Beef Flavor Ramen Noodle Soup (New Recipe),Cup,USA,3.5,,3.4984999999999995,0.0,3.457043343653251,0
198,2382,Nongshim,Seaweed Instant Noodle,Cup,South Korea,0.5,,3.4984999999999995,0.0,3.7905537459283383,1
199,2381,Nissin,Demae Iccho Seafood Flavour Instant Noodle,Cup,Hong Kong,4.75,,3.4984999999999995,0.0,3.8018248175182485,1
200,2380,Pulmuone,Non-Fried Ramyun With Spicy Beef Broth,Pack,South Korea,3.75,,3.7004581151832467,1.0,3.7905537459283383,1
201,2379,Nissin,Cup Noodles Hot & Spicy Shrimp Flavor Ramen Noodle Soup (New Recipe),Cup,USA,2.5,,3.4984999999999995,0.0,3.457043343653251,0
202,2378,Sau Tao,Non-Fried Mix Noodle Black Pepper XO Sauce Flavoured,Pack,Hong Kong,4.5,,3.7004581151832467,1.0,3.8018248175182485,1
203,2377,MyKuali,Penang White Curry Instant Noodle (Japan Version),Box,Malaysia,5,,4.291666666666667,1.0,4.154193548387097,1
204,2376,Nissin,Disney Cuties Instant Chicken With Corn Flavour,Cup,Thailand,3.25,,3.4984999999999995,0.0,3.3848167539267022,0
205,2375,Uni-President,Man Han Feast Braised Pork Flavor Instant Noodles,Bowl,Taiwan,5,,3.6706860706860707,1.0,3.665401785714286,1
206,2374,World O' Noodle,Mi Goreng Garlic Flavour Fried Noodles,Pack,Indonesia,4.5,,3.7004581151832467,1.0,4.067460317460317,1
